CiexKey,IdCiex,Ciex,DescCiex,Categoria,Grupo,Capitulo
2202,F03X,Demencia sin Especificacion.,F03X - Demencia sin Especificacion.,"F03 - DEMENCIA, NO ESPECIFICADA","(F00 - F09) TRASTORNOS MENTES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2203,F04X,"Sindrome Amnesico Organico, no Inducido por Alcohol o por otras Sustancias Psico","F04X - Sindrome Amnesico Organico, no Inducido por Alcohol o por otras Sustancias Psico","F04 - SINDROME AMNESICO ORGANICO, NO INDUCIDO POR ALCOHOL O POR OTRAS SUSTAN","(F00 - F09) TRASTORNOS MENTES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2204,F050,"Delirio no Superpuesto a un Cuadro de demencia, Asi descrito","F050 - Delirio no Superpuesto a un Cuadro de demencia, Asi descrito","F05 - DELIRIO, NO INDUCIDO POR ALCOHOL O POR OTRAS SUSTANCIAS PSICOACTIVAS","(F00 - F09) TRASTORNOS MENTES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2205,F051,Delirio Superpuesto a un Cuadro de demencia,F051 - Delirio Superpuesto a un Cuadro de demencia,"F05 - DELIRIO, NO INDUCIDO POR ALCOHOL O POR OTRAS SUSTANCIAS PSICOACTIVAS","(F00 - F09) TRASTORNOS MENTES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2206,F058,Otros Delirios,F058 - Otros Delirios,"F05 - DELIRIO, NO INDUCIDO POR ALCOHOL O POR OTRAS SUSTANCIAS PSICOACTIVAS","(F00 - F09) TRASTORNOS MENTES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2207,F059,"Delirio, no Especificado","F059 - Delirio, no Especificado","F05 - DELIRIO, NO INDUCIDO POR ALCOHOL O POR OTRAS SUSTANCIAS PSICOACTIVAS","(F00 - F09) TRASTORNOS MENTES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2208,F060,Alucinosis Organica,F060 - Alucinosis Organica,"F06 - OTROS TRASTORNOS MENTALES DEBIDOS A LESION Y DISFUNCION CEREBRAL, Y A","(F00 - F09) TRASTORNOS MENTES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2209,F061,"Trastorno Catatonico, Organico","F061 - Trastorno Catatonico, Organico","F06 - OTROS TRASTORNOS MENTALES DEBIDOS A LESION Y DISFUNCION CEREBRAL, Y A","(F00 - F09) TRASTORNOS MENTES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2210,F062,"Trastorno Delirante [Esquizofreniforme], Organico","F062 - Trastorno Delirante [Esquizofreniforme], Organico","F06 - OTROS TRASTORNOS MENTALES DEBIDOS A LESION Y DISFUNCION CEREBRAL, Y A","(F00 - F09) TRASTORNOS MENTES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2211,F063,"Trastornos del Humor [Afectivos], Organicos","F063 - Trastornos del Humor [Afectivos], Organicos","F06 - OTROS TRASTORNOS MENTALES DEBIDOS A LESION Y DISFUNCION CEREBRAL, Y A","(F00 - F09) TRASTORNOS MENTES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2212,F064,"Trastorno de Ansiedad, Organico","F064 - Trastorno de Ansiedad, Organico","F06 - OTROS TRASTORNOS MENTALES DEBIDOS A LESION Y DISFUNCION CEREBRAL, Y A","(F00 - F09) TRASTORNOS MENTES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2213,F065,"Trastorno Disociativo, Organico","F065 - Trastorno Disociativo, Organico","F06 - OTROS TRASTORNOS MENTALES DEBIDOS A LESION Y DISFUNCION CEREBRAL, Y A","(F00 - F09) TRASTORNOS MENTES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2214,F066,"Trastorno de Labilidad Emocional [Astenico], Organico","F066 - Trastorno de Labilidad Emocional [Astenico], Organico","F06 - OTROS TRASTORNOS MENTALES DEBIDOS A LESION Y DISFUNCION CEREBRAL, Y A","(F00 - F09) TRASTORNOS MENTES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2215,F067,Trastorno Cognoscitivo Leve,F067 - Trastorno Cognoscitivo Leve,"F06 - OTROS TRASTORNOS MENTALES DEBIDOS A LESION Y DISFUNCION CEREBRAL, Y A","(F00 - F09) TRASTORNOS MENTES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2216,F068,Otros Trastornos Mentales Especificados debidos a Lesion y disfuncion Cerebral y a Enfer,F068 - Otros Trastornos Mentales Especificados debidos a Lesion y disfuncion Cerebral y a Enfer,"F06 - OTROS TRASTORNOS MENTALES DEBIDOS A LESION Y DISFUNCION CEREBRAL, Y A","(F00 - F09) TRASTORNOS MENTES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2217,F069,Trastorno Mental no Especificado debido a Lesion y disfuncion Cerebral y a Enfermedad Fi,F069 - Trastorno Mental no Especificado debido a Lesion y disfuncion Cerebral y a Enfermedad Fi,"F06 - OTROS TRASTORNOS MENTALES DEBIDOS A LESION Y DISFUNCION CEREBRAL, Y A","(F00 - F09) TRASTORNOS MENTES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2218,F070,"Trastorno de la Personalidad, Organico","F070 - Trastorno de la Personalidad, Organico",F07 - TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO DEBIDOS A ENFERMEDA,"(F00 - F09) TRASTORNOS MENTES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2219,F071,Sindrome Postencefalitico,F071 - Sindrome Postencefalitico,F07 - TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO DEBIDOS A ENFERMEDA,"(F00 - F09) TRASTORNOS MENTES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2220,F072,Sindrome Postconcusional,F072 - Sindrome Postconcusional,F07 - TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO DEBIDOS A ENFERMEDA,"(F00 - F09) TRASTORNOS MENTES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2221,F078,"Otros Trastornos Organicos de la Personalidad y del Comportamiento debidos a Enfermedad,","F078 - Otros Trastornos Organicos de la Personalidad y del Comportamiento debidos a Enfermedad,",F07 - TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO DEBIDOS A ENFERMEDA,"(F00 - F09) TRASTORNOS MENTES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2222,F079,"Trastorno Organico de la Personalidad y del Comportamiento debidos a Enfermedad, Lesion","F079 - Trastorno Organico de la Personalidad y del Comportamiento debidos a Enfermedad, Lesion",F07 - TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO DEBIDOS A ENFERMEDA,"(F00 - F09) TRASTORNOS MENTES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2223,F09X,Trastorno Mental Organico o Sintomatico sin Especificacion,F09X - Trastorno Mental Organico o Sintomatico sin Especificacion,"F09 - TRASTORNO MENTAL ORGANICO O SINTOMATICO, NO ESPECIFICADO","(F00 - F09) TRASTORNOS MENTES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2224,F100,"Trastornos Mentales y del Comportamiento debidos al Uso de Alcohol, Intoxicacion Aguda","F100 - Trastornos Mentales y del Comportamiento debidos al Uso de Alcohol, Intoxicacion Aguda",F10 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALCOHOL,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2225,F101,Trastornos Mentales y del Comportamiento debidos al Uso de Alcohol - Uso nocivo,F101 - Trastornos Mentales y del Comportamiento debidos al Uso de Alcohol - Uso nocivo,F10 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALCOHOL,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2226,F1011,Alto Riesgo por Consumo Excesivo de Alcohol,F1011 - Alto Riesgo por Consumo Excesivo de Alcohol,F10 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALCOHOL,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2227,F102,"Trastornos Mentales y del Comportamiento debidos al uso de Alcohol, Sindrome de Dependen","F102 - Trastornos Mentales y del Comportamiento debidos al uso de Alcohol, Sindrome de Dependen",F10 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALCOHOL,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2228,F103,"Trastornos Mentales y del Comportamiento debidos al uso de Alcohol, Estado de Abstinenci","F103 - Trastornos Mentales y del Comportamiento debidos al uso de Alcohol, Estado de Abstinenci",F10 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALCOHOL,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2229,F104,"Trastornos Mentales y del Comportamiento debidos al uso de Alcohol, Estado de Abstinenci","F104 - Trastornos Mentales y del Comportamiento debidos al uso de Alcohol, Estado de Abstinenci",F10 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALCOHOL,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2230,F105,"Trastornos Mentales y del Comportamiento debidos al uso de Alcohol, Trastorno Psicotico","F105 - Trastornos Mentales y del Comportamiento debidos al uso de Alcohol, Trastorno Psicotico",F10 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALCOHOL,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2231,F106,"Trastornos Mentales y del Comportamiento debidos al uso de Alcohol, Sindrome Amnesico","F106 - Trastornos Mentales y del Comportamiento debidos al uso de Alcohol, Sindrome Amnesico",F10 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALCOHOL,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2232,F107,"Trastornos Mentales y del Comportamiento debidos al uso de Alcohol, Trastorno Psicotico","F107 - Trastornos Mentales y del Comportamiento debidos al uso de Alcohol, Trastorno Psicotico",F10 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALCOHOL,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2233,F108,"Trastornos Mentales y del Comportamiento debidos al uso de Alcohol, otros Trastornos Men","F108 - Trastornos Mentales y del Comportamiento debidos al uso de Alcohol, otros Trastornos Men",F10 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALCOHOL,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2234,F109,Trastornos Mentales y del Comportamiento debidos al uso de Alcohol no Especificado.,F109 - Trastornos Mentales y del Comportamiento debidos al uso de Alcohol no Especificado.,F10 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALCOHOL,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2235,F110,"Trastornos Mentales y del Comportamiento debidos al uso de Opiaceos, Intoxicacion Aguda","F110 - Trastornos Mentales y del Comportamiento debidos al uso de Opiaceos, Intoxicacion Aguda",F11 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2236,F111,"Trastornos Mentales y del Comportamiento debidos al uso de Opiaceos, uso Nocivo","F111 - Trastornos Mentales y del Comportamiento debidos al uso de Opiaceos, uso Nocivo",F11 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2237,F112,"Trastornos Mentales y del Comportamiento debidos al uso de Opiaceos, Sindrome de depende","F112 - Trastornos Mentales y del Comportamiento debidos al uso de Opiaceos, Sindrome de depende",F11 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2238,F113,"Trastornos Mentales y del Comportamiento debidos al uso de Opiaceos, Estado de Abstinenc","F113 - Trastornos Mentales y del Comportamiento debidos al uso de Opiaceos, Estado de Abstinenc",F11 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2239,F114,"Trastornos Mentales y del Comportamiento debidos al uso de Opiaceos, Estado de Abstinenc","F114 - Trastornos Mentales y del Comportamiento debidos al uso de Opiaceos, Estado de Abstinenc",F11 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2240,F115,"Trastornos Mentales y del Comportamiento debidos al uso de Opiaceos, Trastorno Psicotico","F115 - Trastornos Mentales y del Comportamiento debidos al uso de Opiaceos, Trastorno Psicotico",F11 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2241,F116,"Trastornos Mentales y del Comportamiento debidos al uso de Opiaceos, Sindrome Amnesico","F116 - Trastornos Mentales y del Comportamiento debidos al uso de Opiaceos, Sindrome Amnesico",F11 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2242,F117,"Trastornos Mentales y del Comportamiento debidos al uso de Opiaceos, Trastorno Psicotico","F117 - Trastornos Mentales y del Comportamiento debidos al uso de Opiaceos, Trastorno Psicotico",F11 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2243,F118,"Trastornos Mentales y del Comportamiento debidos al uso de Opiaceos, otros Trastornos Me","F118 - Trastornos Mentales y del Comportamiento debidos al uso de Opiaceos, otros Trastornos Me",F11 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2244,F119,Trastornos Mentales y del Comportamiento debidos al uso de Opiaceos no Especificado.,F119 - Trastornos Mentales y del Comportamiento debidos al uso de Opiaceos no Especificado.,F11 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2245,F120,"Trastornos Mentales y del Comportamiento debidos al uso de Cannabinoides, Intoxicacion A","F120 - Trastornos Mentales y del Comportamiento debidos al uso de Cannabinoides, Intoxicacion A",F12 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOID,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2246,F121,"Trastornos Mentales y del Comportamiento debidos al uso de Cannabinoides, uso Nocivo","F121 - Trastornos Mentales y del Comportamiento debidos al uso de Cannabinoides, uso Nocivo",F12 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOID,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2247,F122,"Trastornos Mentales y del Comportamiento debidos al uso de Cannabinoides, Sindrome de de","F122 - Trastornos Mentales y del Comportamiento debidos al uso de Cannabinoides, Sindrome de de",F12 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOID,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2248,F123,"Trastornos Mentales y del Comportamiento debidos al uso de Cannabinoides, Estado de Abst","F123 - Trastornos Mentales y del Comportamiento debidos al uso de Cannabinoides, Estado de Abst",F12 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOID,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2249,F124,"Trastornos Mentales y del Comportamiento debidos al uso de Cannabinoides, Estado de Abst","F124 - Trastornos Mentales y del Comportamiento debidos al uso de Cannabinoides, Estado de Abst",F12 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOID,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2250,F125,"Trastornos Mentales y del Comportamiento debidos al uso de Cannabinoides, Trastorno Psic","F125 - Trastornos Mentales y del Comportamiento debidos al uso de Cannabinoides, Trastorno Psic",F12 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOID,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2251,F126,"Trastornos Mentales y del Comportamiento debidos al uso de Cannabinoides, Sindrome Amnes","F126 - Trastornos Mentales y del Comportamiento debidos al uso de Cannabinoides, Sindrome Amnes",F12 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOID,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2252,F127,"Trastornos Mentales y del Comportamiento debidos al uso de Cannabinoides, Trastorno Psic","F127 - Trastornos Mentales y del Comportamiento debidos al uso de Cannabinoides, Trastorno Psic",F12 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOID,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2253,F128,"Trastornos Mentales y del Comportamiento debidos al uso de Cannabinoides, otros Trastorn","F128 - Trastornos Mentales y del Comportamiento debidos al uso de Cannabinoides, otros Trastorn",F12 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOID,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2254,F129,Trastornos Mentales y del Comportamiento debidos al uso de Caanabionoides no Especificad,F129 - Trastornos Mentales y del Comportamiento debidos al uso de Caanabionoides no Especificad,F12 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOID,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2255,F130,"Trastornos Mentales y del Comportamiento debidos al uso de Sedantes o Hipnoticos, Intoxi","F130 - Trastornos Mentales y del Comportamiento debidos al uso de Sedantes o Hipnoticos, Intoxi",F13 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2256,F131,"Trastornos Mentales y del Comportamiento debidos al uso de Sedantes o Hipnoticos, uso No","F131 - Trastornos Mentales y del Comportamiento debidos al uso de Sedantes o Hipnoticos, uso No",F13 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2257,F132,"Trastornos Mentales y del Comportamiento debidos al uso de Sedantes o Hipnoticos, Sindro","F132 - Trastornos Mentales y del Comportamiento debidos al uso de Sedantes o Hipnoticos, Sindro",F13 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2258,F133,"Trastornos Mentales y del Comportamiento debidos al uso de Sedantes o Hipnoticos, Estado","F133 - Trastornos Mentales y del Comportamiento debidos al uso de Sedantes o Hipnoticos, Estado",F13 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2259,F134,"Trastornos Mentales y del Comportamiento debidos al uso de Sedantes o Hipnoticos, Estado","F134 - Trastornos Mentales y del Comportamiento debidos al uso de Sedantes o Hipnoticos, Estado",F13 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
2260,F135,"Trastornos Mentales y del Comportamiento debidos al uso de Sedantes o Hipnoticos, Trasto","F135 - Trastornos Mentales y del Comportamiento debidos al uso de Sedantes o Hipnoticos, Trasto",F13 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O,(F10 - F19) TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SUSTANCIAS PSICOACTIVAS,CAPITULO V: TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
